类型,连续分布
(负无穷,18.5],傲娇受,7,匀称,21,大叔,14,天然呆,14,小清新,14,暖男,14,猴子,35,肌肉,7,闷骚,7,阳光,35,
(18.5,25.0],傲娇受,7,匀称,329,大叔,70,天然呆,35,女王受,14,小清新,21,帝王攻,28,忠犬攻,14,找男友,7,暖男,147,爷们,147,猴子,35,肌肉,28,腹黑,42,闷骚,84,阳光,175,
(25.0,32.0],匀称,35,大叔,28,天然呆,14,小清新,7,暖男,28,熊,28,爷们,28,腹黑,7,闷骚,21,阳光,28,
(32.0,正无穷],天然呆,7,暖男,14,熊,14,闷骚,7,阳光,7,
